description,category
"The director at the northern zone office hinted that my tender document would be stuck for months unless I gave him Rs. 10,000.",Bribery
"A engineer in the Water Supply Board refused to process my file unless I paid Rs. 2,000 under the table.",Bribery
"I was asked to pay a bribe of Rs. 5,000 to the sub-registrar to speed up my land title application at the northern zone office.",Bribery
Relief funds meant for flood victims near the rural health center were misappropriated by staff in the Health Department.,Corruption
"The Transport Department awarded a tender to a shell company linked to a tehsildar, with kickbacks reported at the northern zone office.",Corruption
This report concerns a procedural question about the Customs Department rather than a specific violation.,Other
"The Education Department awarded a tender to a shell company linked to a council member, with kickbacks reported at the central branch.",Corruption
Evidence shows the surveyor deliberately delayed processing a driving license to harass the applicant at the regional headquarters.,Official Misconduct
An audit revealed the Education Department inflated contractor bills at Block A to siphon off public money.,Corruption
There is no functioning grievance redress system at the Water Supply Board office in Block A.,Governance Issue
Records requested under the Right to Information Act from the Income Tax Office at Sector 12 were never provided.,Governance Issue
"To get my passport application cleared at the Electricity Board, the engineer openly asked for a 'facilitation fee' of Rs. 500.",Bribery
This is a suggestion for improving queue management at the Land Records Office office in the rural health center.,Other
Decisions at the Water Supply Board regarding the central branch are made without any public consultation or transparency.,Governance Issue
"The Revenue Department facility at the municipal complex has exposed wiring and no fire safety equipment, endangering visitors.",Unsafe Public Service
I was asked to pay a bribe of Rs. 500 to the inspector to speed up my property registration application at the rural health center.,Bribery
Materials meant for a government scheme in Block A were sold off by a inspector in the Electricity Board for personal profit.,Corruption
The public bus operated by the Customs Department at the taluk office has faulty brakes and has not been inspected in years.,Unsafe Public Service
"The Housing Board facility at the northern zone office has exposed wiring and no fire safety equipment, endangering visitors.",Unsafe Public Service
The officer abused their authority by forcing subordinates at the district office to falsify inspection reports.,Official Misconduct
Relief funds meant for flood victims near the municipal complex were misappropriated by staff in the Sanitation Department.,Corruption
"Patients at the government hospital in the district office are being treated in unsanitary, overcrowded wards run by the Public Works Department.",Unsafe Public Service
This is a suggestion for improving queue management at the Police Department office in the taluk office.,Other
The school building managed by the Income Tax Office at the regional headquarters has a collapsing roof that puts children at risk.,Unsafe Public Service
Funds allocated for a public project at the northern zone office were diverted by officials in the Transport Department for personal use.,Corruption
The public bus operated by the Revenue Department at Block A has faulty brakes and has not been inspected in years.,Unsafe Public Service
The engineer at the northern zone office threatened a citizen for filing a complaint against the Customs Department.,Official Misconduct
"I was asked to pay a bribe of Rs. 25,000 to the director to speed up my land title application at Block A.",Bribery
Filing this report to flag a minor administrative error in my ration card at the Revenue Department.,Other
The Customs Department repeatedly misses statutory deadlines for pension file processing across the taluk office with no explanation.,Governance Issue
"The Public Works Department facility at the municipal complex has exposed wiring and no fire safety equipment, endangering visitors.",Unsafe Public Service
Materials meant for a government scheme in the rural health center were sold off by a council member in the Income Tax Office for personal profit.,Corruption
This is a suggestion for improving queue management at the Transport Department office in the rural health center.,Other
Records requested under the Right to Information Act from the Public Works Department at Block A were never provided.,Governance Issue
"The Land Records Office awarded a tender to a shell company linked to a council member, with kickbacks reported at Sector 12.",Corruption
The Municipal Corporation repeatedly misses statutory deadlines for building permit processing across Ward 5 with no explanation.,Governance Issue
I am unsure which department is responsible for an issue I noticed near the municipal complex.,Other
"Patients at the government hospital in the rural health center are being treated in unsanitary, overcrowded wards run by the Water Supply Board.",Unsafe Public Service
"The Housing Board awarded a tender to a shell company linked to a director, with kickbacks reported at the district office.",Corruption
Decisions at the Customs Department regarding the regional headquarters are made without any public consultation or transparency.,Governance Issue
"Ghost employees were found on the payroll of the Income Tax Office at the rural health center, with salaries pocketed by a administrator.",Corruption
This report concerns a procedural question about the Housing Board rather than a specific violation.,Other
This is a suggestion for improving queue management at the Housing Board office in the central branch.,Other
The supervisor at the Revenue Department has not held a single accountability meeting with residents of the northern zone office in over a year.,Governance Issue
Records requested under the Right to Information Act from the Transport Department at the northern zone office were never provided.,Governance Issue
"The Municipal Corporation facility at the taluk office has exposed wiring and no fire safety equipment, endangering visitors.",Unsafe Public Service
Records requested under the Right to Information Act from the Transport Department at the district office were never provided.,Governance Issue
"The administrator at the Water Supply Board demanded Rs. 1,00,000 in cash before approving my ration card.",Bribery
Drinking water supplied by the Electricity Board near the regional headquarters has tested positive for contamination for months.,Unsafe Public Service
The surveyor at the Income Tax Office has not held a single accountability meeting with residents of the rural health center in over a year.,Governance Issue
Decisions at the Water Supply Board regarding the district office are made without any public consultation or transparency.,Governance Issue
Evidence shows the constable deliberately delayed processing a property registration to harass the applicant at the district office.,Official Misconduct
"The inspector took Rs. 25,000 from me and only then stamped my business license at the Housing Board.",Bribery
The director at the northern zone office threatened a citizen for filing a complaint against the Housing Board.,Official Misconduct
This is a suggestion for improving queue management at the Income Tax Office office in the central branch.,Other
Relief funds meant for flood victims near the central branch were misappropriated by staff in the Health Department.,Corruption
The school building managed by the Police Department at the regional headquarters has a collapsing roof that puts children at risk.,Unsafe Public Service
Materials meant for a government scheme in the rural health center were sold off by a director in the Housing Board for personal profit.,Corruption
The public bus operated by the Sanitation Department at the central branch has faulty brakes and has not been inspected in years.,Unsafe Public Service
Funds allocated for a public project at Block A were diverted by officials in the Education Department for personal use.,Corruption
"Patients at the government hospital in Sector 12 are being treated in unsanitary, overcrowded wards run by the Rural Development Office.",Unsafe Public Service
Decisions at the Sanitation Department regarding Ward 5 are made without any public consultation or transparency.,Governance Issue
The Income Tax Office repeatedly misses statutory deadlines for property registration processing across the rural health center with no explanation.,Governance Issue
The director at the Transport Department misused their position to favor a relative during business license approval at the municipal complex.,Official Misconduct
A director at the Electricity Board was seen accepting gifts from a contractor in exchange for favorable treatment at the taluk office.,Official Misconduct
